timestamp,seed,pairs,ms,rows,columns,perside,style,payoff,komi,winsA,winsB,winsA_asP0,winsA_asP1,quietPct,quietPctAwins,quietPctBwins,meanPlies,meanCaptures,meanLeadChanges,wallSecs,wA_threat,wA_pair,wA_mobility,wA_centre,wA_vulnerableAxes,wA_oneMoveCapturable,wA_spearheadPairs,wA_diagonalSupport,wA_deniedSquares,wA_strikers,wA_notchExposure,wB_threat,wB_pair,wB_mobility,wB_centre,wB_vulnerableAxes,wB_oneMoveCapturable,wB_spearheadPairs,wB_diagonalSupport,wB_deniedSquares,wB_strikers,wB_notchExposure
1787789946,777001,310,500,8,10,20,slide,convex,1.5,310,310,169,141,66.94,66.77,67.10,164.02,28.21,1.18,5869.08,0.250000,0.020000,0.020000,0.200000,-0.042000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787795871,777001,310,500,8,10,20,slide,convex,1.5,313,307,163,150,68.23,70.93,65.47,164.78,27.90,1.21,5924.64,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.630000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787801795,777001,310,500,8,10,20,slide,convex,1.5,329,291,162,167,70.81,70.82,70.79,164.97,27.91,1.22,5923.41,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.210000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787807595,777001,310,500,8,10,20,slide,convex,1.5,310,310,156,154,70.97,73.23,68.71,161.07,27.32,1.14,5797.80,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.084000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787813545,777001,310,500,8,10,20,slide,convex,1.5,312,308,166,146,67.74,66.03,69.48,165.67,28.13,1.23,5949.82,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.070000,-0.120000,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
