seeds=40 N=9 T=6 sigma_true=0.1
ssvs tau0=0.02 tau1=1.5 draws=20000 burn=5000

case     method       correct   false  missed  exact  med sig  med frob
block    mple           26.20    1.57    0.80   14/40   0.0908     0.673
block    lasso-cv       20.85   18.43    6.15    0/40   0.6144     3.730
block    lasso-bic      23.70   18.27    3.30    0/40   0.0649     2.799
block    alasso-bic     23.32    8.28    3.67    0/40   0.0924     2.791
block    lasso-best     19.27    1.68    7.72    0/40   0.7462     3.542
block    ssvs           26.32    1.50    0.68   10/40   0.0915     0.785

scatter  mple           26.40    1.40    0.60   17/40   0.0887     0.596
scatter  lasso-cv       21.73   19.30    5.28    0/40   0.4297     3.321
scatter  lasso-bic      23.98   17.00    3.02    0/40   0.0649     2.786
scatter  alasso-bic     23.57    7.85    3.42    2/40   0.0963     2.714
scatter  lasso-best     19.68    2.35    7.33    0/40   0.6960     3.224
scatter  ssvs           26.00    1.12    1.00   17/40   0.0941     0.525

paired against mple, both cases pooled (errors = false + missed)
  lasso-cv    worse than mple  80   better   0   equal   0   of 80
  lasso-bic   worse than mple  80   better   0   equal   0   of 80
  alasso-bic  worse than mple  77   better   2   equal   1   of 80
  lasso-best  worse than mple  79   better   0   equal   1   of 80
  ssvs        worse than mple  24   better  24   equal  32   of 80

rows selected with more cells than observations: 0

      seed case     method        M  corr  false  miss   sigma    frob
  20283726 scatter  lasso-bic    40    24     16     3  0.0687   3.362
  20283726 scatter  alasso-bic   31    23      8     4  0.1020   3.344
  20283726 scatter  lasso-best   19    18      1     9  1.0010   3.138
  20283726 scatter  ssvs         27    27      0     0  0.1029   0.232
  20284726 block    mple         30    25      5     2  0.0587   1.088
  20284726 block    lasso-cv     42    22     20     5  0.0703   4.085
  20284726 block    lasso-bic    39    22     17     5  0.0690   4.087
  20284726 block    alasso-bic   30    21      9     6  0.0847   4.628
  20284726 block    lasso-best   22    20      2     7  0.9776   4.247
  20284726 block    ssvs         27    25      2     2  0.0771   0.908
  20284726 scatter  mple         28    25      3     2  0.0749   1.713
  20284726 scatter  lasso-cv     40    18     22     9  0.2513   4.979
  20284726 scatter  lasso-bic    39    21     18     6  0.0890   4.523
  20284726 scatter  alasso-bic   30    19     11     8  0.0980   4.534
  20284726 scatter  lasso-best   18    15      3    12  0.6733   4.350
  20284726 scatter  ssvs         12     9      3    18  0.4386   3.693
  20285726 block    mple         27    27      0     0  0.0916   0.218
  20285726 block    lasso-cv     47    25     22     2  0.2405   1.919
  20285726 block    lasso-bic    38    26     12     1  0.0693   1.581
  20285726 block    alasso-bic   28    24      4     3  0.0954   1.687
  20285726 block    lasso-best   25    23      2     4  0.5261   1.457
  20285726 block    ssvs         27    27      0     0  0.0916   0.217
  20285726 scatter  mple         27    27      0     0  0.0982   0.204
  20285726 scatter  lasso-cv     29    18     11     9  1.4983   3.585
  20285726 scatter  lasso-bic    43    24     19     3  0.0481   2.601
  20285726 scatter  alasso-bic   34    22     12     5  0.0650   2.707
  20285726 scatter  lasso-best   28    22      6     5  0.4620   2.054
  20285726 scatter  ssvs         28    27      1     0  0.0953   0.243
  20286726 block    mple         27    27      0     0  0.0995   0.428
  20286726 block    lasso-cv     40    18     22     9  0.7332   4.158
  20286726 block    lasso-bic    39    22     17     5  0.0393   2.600
  20286726 block    alasso-bic   30    22      8     5  0.0878   2.549
  20286726 block    lasso-best   23    20      3     7  0.4160   3.101
  20286726 block    ssvs         28    27      1     0  0.1012   0.442
  20286726 scatter  mple         29    26      3     1  0.0674   1.390
  20286726 scatter  lasso-cv     45    22     23     5  1.1615   4.341
  20286726 scatter  lasso-bic    36    24     12     3  0.0685   3.755
  20286726 scatter  alasso-bic   31    24      7     3  0.0780   3.761
  20286726 scatter  lasso-best   24    21      3     6  0.8778   2.571
  20286726 scatter  ssvs         27    27      0     0  0.0858   0.434
  20287726 block    mple         27    25      2     2  0.0844   1.214
  20287726 block    lasso-cv     39    21     18     6  0.9960   4.093
  20287726 block    lasso-bic    39    24     15     3  0.0791   2.254
  20287726 block    alasso-bic   30    24      6     3  0.0984   2.239
  20287726 block    lasso-best   23    22      1     5  0.4276   2.759
  20287726 block    ssvs         27    25      2     2  0.0843   1.221
  20287726 scatter  mple         29    27      2     0  0.0815   0.870
  20287726 scatter  lasso-cv     41    23     18     4  0.8871   3.313
  20287726 scatter  lasso-bic    42    26     16     1  0.0571   2.122
  20287726 scatter  alasso-bic   30    24      6     3  0.0899   2.373
  20287726 scatter  lasso-best   22    21      1     6  0.6059   2.578
  20287726 scatter  ssvs         27    26      1     1  0.0934   1.192
  20288726 block    mple         32    26      6     1  0.0583   1.819
  20288726 block    lasso-cv     36    18     18     9  0.8060   4.542
  20288726 block    lasso-bic    41    22     19     5  0.0749   3.589
  20288726 block    alasso-bic   35    22     13     5  0.0704   3.598
  20288726 block    lasso-best   17    14      3    13  1.0746   6.647
  20288726 block    ssvs         26    26      0     1  0.1448   0.736
  20288726 scatter  mple         32    26      6     1  0.0742   1.132
  20288726 scatter  lasso-cv     42    26     16     1  0.0836   2.070
  20288726 scatter  lasso-bic    41    25     16     2  0.0661   2.131
  20288726 scatter  alasso-bic   30    24      6     3  0.0969   2.069
  20288726 scatter  lasso-best   24    22      2     5  0.4404   2.034
  20288726 scatter  ssvs         28    27      1     0  0.1027   0.806
  20289726 block    mple         29    25      4     2  0.0859   2.155
  20289726 block    lasso-cv     43    22     21     5  0.1910   3.638
  20289726 block    lasso-bic    44    22     22     5  0.0766   4.122
  20289726 block    alasso-bic   34    22     12     5  0.1252   3.957
  20289726 block    lasso-best   14    14      0    13  1.5328   6.151
  20289726 block    ssvs         29    27      2     0  0.1009   1.812
  20289726 scatter  mple         27    27      0     0  0.0942   0.286
  20289726 scatter  lasso-cv     49    21     28     6  0.1251   6.967
  20289726 scatter  lasso-bic    44    22     22     5  0.0609   6.814
  20289726 scatter  alasso-bic   39    21     18     6  0.0766   6.780
  20289726 scatter  lasso-best   25    19      6     8  1.2082   5.620
  20289726 scatter  ssvs         29    26      3     1  0.0829   2.023
  20290726 block    mple         27    26      1     1  0.1091   0.660
  20290726 block    lasso-cv     54    22     32     5  0.0000   3.585
  20290726 block    lasso-bic    47    22     25     5  0.0584   3.577
  20290726 block    alasso-bic   37    21     16     6  0.0905   3.654
  20290726 block    lasso-best   15    15      0    12  1.1467   3.697
  20290726 block    ssvs         26    26      0     1  0.1302   0.587
  20290726 scatter  mple         28    27      1     0  0.1037   0.383
  20290726 scatter  lasso-cv     41    21     20     6  0.7277   2.789
  20290726 scatter  lasso-bic    45    23     22     4  0.0438   3.174
  20290726 scatter  alasso-bic   35    23     12     4  0.0993   3.055
  20290726 scatter  lasso-best   21    19      2     8  1.0761   4.493
  20290726 scatter  ssvs         29    27      2     0  0.0965   0.423
  20291726 block    mple         28    27      1     0  0.0884   0.538
  20291726 block    lasso-cv     42    20     22     7  0.3185   5.037
  20291726 block    lasso-bic    46    25     21     2  0.0622   3.341
  20291726 block    alasso-bic   33    24      9     3  0.0674   3.197
  20291726 block    lasso-best   21    17      4    10  0.7411   3.256
  20291726 block    ssvs         28    26      2     1  0.0841   0.992
  20291726 scatter  mple         27    27      0     0  0.0926   0.297
  20291726 scatter  lasso-cv     49    23     26     4  0.0476   3.767
  20291726 scatter  lasso-bic    44    23     21     4  0.0567   3.721
  20291726 scatter  alasso-bic   37    23     14     4  0.0890   3.591
  20291726 scatter  lasso-best   23    19      4     8  1.5219   4.473
  20291726 scatter  ssvs         27    27      0     0  0.0925   0.298
  20292726 block    mple         28    26      2     1  0.0924   1.832
  20292726 block    lasso-cv     40    21     19     6  0.3289   3.889
  20292726 block    lasso-bic    45    25     20     2  0.0735   3.355
  20292726 block    alasso-bic   33    24      9     3  0.1000   3.434
  20292726 block    lasso-best   23    19      4     8  0.9729   3.000
  20292726 block    ssvs         28    26      2     1  0.0924   1.835
  20292726 scatter  mple         27    25      2     2  0.1022   1.112
  20292726 scatter  lasso-cv     47    21     26     6  0.1173   3.990
  20292726 scatter  lasso-bic    47    22     25     5  0.0404   3.906
  20292726 scatter  alasso-bic   35    22     13     5  0.1226   3.889
  20292726 scatter  lasso-best   13    12      1    15  1.3026   4.937
  20292726 scatter  ssvs         27    27      0     0  0.1019   0.322
  20293726 block    mple         29    24      5     3  0.0757   2.970
  20293726 block    lasso-cv     48    25     23     2  0.3389   2.093
  20293726 block    lasso-bic    44    23     21     4  0.0534   2.776
  20293726 block    alasso-bic   32    23      9     4  0.0821   2.815
  20293726 block    lasso-best   18    18      0     9  0.8561   3.753
  20293726 block    ssvs         30    27      3     0  0.0784   0.799
  20293726 scatter  mple         28    27      1     0  0.0794   0.578
  20293726 scatter  lasso-cv     46    24     22     3  0.6679   3.143
  20293726 scatter  lasso-bic    41    26     15     1  0.0555   2.740
  20293726 scatter  alasso-bic   28    25      3     2  0.0809   2.743
  20293726 scatter  lasso-best   22    19      3     8  0.7466   3.792
  20293726 scatter  ssvs         28    25      3     2  0.0809   2.743
  20294726 block    mple         27    27      0     0  0.0946   0.365
  20294726 block    lasso-cv     25    12     13    15  1.9637   6.759
  20294726 block    lasso-bic    43    23     20     4  0.0908   2.927
  20294726 block    alasso-bic   35    23     12     4  0.0848   2.912
  20294726 block    lasso-best   22    21      1     6  0.6011   2.440
  20294726 block    ssvs         27    27      0     0  0.0945   0.356
  20294726 scatter  mple         28    27      1     0  0.0940   0.400
  20294726 scatter  lasso-cv     44    23     21     4  0.5546   3.062
  20294726 scatter  lasso-bic    42    25     17     2  0.0684   1.246
  20294726 scatter  alasso-bic   30    25      5     2  0.1140   1.126
  20294726 scatter  lasso-best   21    20      1     7  0.7079   3.731
  20294726 scatter  ssvs         27    27      0     0  0.1105   0.254
  20295726 block    mple         27    27      0     0  0.0896   0.254
  20295726 block    lasso-cv     48    25     23     2  0.1803   2.848
  20295726 block    lasso-bic    43    23     20     4  0.0542   3.818
  20295726 block    alasso-bic   32    23      9     4  0.0995   3.762
  20295726 block    lasso-best   21    18      3     9  0.9500   4.741
  20295726 block    ssvs         28    27      1     0  0.0861   0.350
  20295726 scatter  mple         27    27      0     0  0.0748   0.306
  20295726 scatter  lasso-cv     29    17     12    10  1.2526   5.446
  20295726 scatter  lasso-bic    43    24     19     3  0.0475   2.025
  20295726 scatter  alasso-bic   30    24      6     3  0.0847   1.892
  20295726 scatter  lasso-best   22    18      4     9  0.8001   4.358
  20295726 scatter  ssvs         27    27      0     0  0.0748   0.306
  20296726 block    mple         27    25      2     2  0.0947   1.509
  20296726 block    lasso-cv     39    21     18     6  0.8602   3.119
  20296726 block    lasso-bic    44    24     20     3  0.0731   2.112
  20296726 block    alasso-bic   32    24      8     3  0.0996   2.063
  20296726 block    lasso-best   21    18      3     9  0.7973   2.843
  20296726 block    ssvs         26    26      0     1  0.1565   0.658
  20296726 scatter  mple         27    27      0     0  0.0918   0.514
  20296726 scatter  lasso-cv     43    25     18     2  0.1532   1.664
  20296726 scatter  lasso-bic    39    24     15     3  0.0991   1.990
  20296726 scatter  alasso-bic   31    23      8     4  0.1047   2.093
  20296726 scatter  lasso-best   23    22      1     5  0.2848   1.922
  20296726 scatter  ssvs         27    27      0     0  0.0917   0.496
  20297726 block    mple         27    27      0     0  0.0812   0.203
  20297726 block    lasso-cv     33    22     11     5  1.1780   3.823
  20297726 block    lasso-bic    38    26     12     1  0.0565   1.769
  20297726 block    alasso-bic   30    26      4     1  0.0768   1.753
  20297726 block    lasso-best   25    25      0     2  0.4561   1.890
  20297726 block    ssvs         27    27      0     0  0.0812   0.203
  20297726 scatter  mple         27    27      0     0  0.0746   0.241
  20297726 scatter  lasso-cv     48    27     21     0  0.0352   0.369
  20297726 scatter  lasso-bic    32    27      5     0  0.0567   0.342
  20297726 scatter  alasso-bic   27    27      0     0  0.0746   0.243
  20297726 scatter  lasso-best   25    25      0     2  0.5455   1.354
  20297726 scatter  ssvs         27    27      0     0  0.0746   0.243
  20298726 block    mple         27    27      0     0  0.0772   0.264
  20298726 block    lasso-cv     38    24     14     3  0.3284   2.312
  20298726 block    lasso-bic    40    26     14     1  0.0519   1.531
  20298726 block    alasso-bic   29    26      3     1  0.0703   1.430
  20298726 block    lasso-best   21    20      1     7  0.7452   3.191
  20298726 block    ssvs         28    25      3     2  0.0701   3.141
  20298726 scatter  mple         31    26      5     1  0.0489   1.792
  20298726 scatter  lasso-cv     45    25     20     2  0.2621   2.116
  20298726 scatter  lasso-bic    43    25     18     2  0.0364   2.993
  20298726 scatter  alasso-bic   31    24      7     3  0.0983   3.257
  20298726 scatter  lasso-best   27    23      4     4  0.3123   1.886
  20298726 scatter  ssvs         30    26      4     1  0.0515   1.567
  20299726 block    mple         27    25      2     2  0.0735   2.953
  20299726 block    lasso-cv     43    20     23     7  0.8871   4.979
  20299726 block    lasso-bic    42    22     20     5  0.0707   5.901
  20299726 block    alasso-bic   32    22     10     5  0.0766   5.890
  20299726 block    lasso-best   20    20      0     7  0.5865   3.630
  20299726 block    ssvs         27    26      1     1  0.0752   1.056
  20299726 scatter  mple         29    26      3     1  0.0806   1.868
  20299726 scatter  lasso-cv     44    23     21     4  0.1759   2.689
  20299726 scatter  lasso-bic    36    22     14     5  0.0651   3.612
  20299726 scatter  alasso-bic   29    22      7     5  0.0927   3.348
  20299726 scatter  lasso-best   19    18      1     9  1.0598   3.932
  20299726 scatter  ssvs         29    25      4     2  0.0959   2.963
