timestamp,seed,pairs,ms,rows,columns,perside,style,payoff,komi,winsA,winsB,winsA_asP0,winsA_asP1,quietPct,quietPctAwins,quietPctBwins,meanPlies,meanCaptures,meanLeadChanges,wallSecs,wA_threat,wA_pair,wA_mobility,wA_centre,wA_vulnerableAxes,wA_oneMoveCapturable,wA_spearheadPairs,wA_diagonalSupport,wA_deniedSquares,wA_strikers,wA_notchExposure,wB_threat,wB_pair,wB_mobility,wB_centre,wB_vulnerableAxes,wB_oneMoveCapturable,wB_spearheadPairs,wB_diagonalSupport,wB_deniedSquares,wB_strikers,wB_notchExposure
1787663964,777001,310,500,8,10,20,slide,convex,1.5,329,291,157,172,75.48,75.68,75.26,172.93,28.68,1.35,6254.25,0.250000,0.020000,0.020000,0.050000,-0.120000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787670287,777001,310,500,8,10,20,slide,convex,1.5,385,235,195,190,81.45,82.86,79.15,173.39,26.80,1.10,6323.21,0.250000,0.020000,0.005000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787676577,777001,310,500,8,10,20,slide,convex,1.5,342,278,174,168,74.84,82.16,65.83,173.50,28.76,1.26,6288.67,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787682792,777001,310,500,8,10,20,slide,convex,1.5,332,288,159,173,73.39,72.29,74.65,171.96,28.49,1.20,6214.74,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.600000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787688955,777001,310,500,8,10,20,slide,convex,1.5,307,313,167,140,66.45,64.17,68.69,171.33,29.33,1.17,6162.99,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.100000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787696602,777001,310,500,8,10,20,slide,convex,1.5,384,236,197,187,75.65,79.69,69.07,172.14,28.12,1.31,6217.66,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.600000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787759844,778001,310,500,8,10,20,slide,convex,1.5,389,231,190,199,79.35,84.58,70.56,170.15,27.61,1.26,6106.69,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.600000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
