timestamp,seed,pairs,ms,rows,columns,perside,style,payoff,komi,winsA,winsB,winsA_asP0,winsA_asP1,quietPct,quietPctAwins,quietPctBwins,meanPlies,meanCaptures,meanLeadChanges,wallSecs,wA_threat,wA_pair,wA_mobility,wA_centre,wA_vulnerableAxes,wA_oneMoveCapturable,wA_spearheadPairs,wA_diagonalSupport,wA_deniedSquares,wA_strikers,wA_notchExposure,wB_threat,wB_pair,wB_mobility,wB_centre,wB_vulnerableAxes,wB_oneMoveCapturable,wB_spearheadPairs,wB_diagonalSupport,wB_deniedSquares,wB_strikers,wB_notchExposure
1787830179,777001,100,500,6,6,12,slide,convex,1.5,94,106,20,74,90.00,97.87,83.02,81.64,5.21,0.30,959.30,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787832114,777001,100,500,8,10,20,slide,convex,1.5,110,90,52,58,77.50,78.18,76.67,162.82,26.57,1.18,1935.79,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787834277,777001,100,500,10,12,30,slide,convex,1.5,121,79,57,64,100.00,100.00,100.00,184.75,27.57,1.10,2162.18,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
1787837361,778001,100,500,6,6,12,slide,convex,1.5,104,96,29,75,91.00,98.08,83.33,83.47,5.37,0.21,944.52,0.250000,0.020000,0.020000,0.200000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000,0.250000,0.020000,0.020000,0.050000,-0.030000,-0.900000,0.150000,0.060000,0.040000,0.050000,-0.120000
